MP_CODE,MP_NAME,Population
260020,Mngqesha,1228
260021,Mpundu,461
260022,Ngqeleni,238
260023,Jaftas,442
260024,KwaBelekile,367
260025,KwaBuso,771
260026,Dikazi,5
260027,KwaNyande,341
260028,KwaNtsipho,5
260029,Trastini,552
260030,Zinyoka,731
260031,Yellow Wood,242
260032,Bisho,11192
260033,eBhalasi,2457
260034,Mzintshane,607
260035,Jongamsabomvu,-
260036,Modaka,1745
260037,Zabalaza,1188
260038,Ngcamngeni,202
260039,Dimbaza,21783
260040,Nomgwadla,2384
260041,KwaMdingi,648
260042,KwaNkola,398
260043,Tyutyu,2676
260044,King William's Town,34019
260045,KwaMasingata,1204
260046,KwaDikidikana,930
260047,Ngqingeni,490
260048,eSingeni,1343
260049,Ngqika,283
260050,uMzantsi,1373
260051,KwaMamata,887
260052,Mamata,459
260053,Zikwaba,747
260054,Kwetyana,5863
260055,KwaMpundu,1544
260056,Ncalukeni,1892
260057,St Mary,595
260058,eMxhaxho,1637
260059,Tolofiyeni,2613
260060,Berlin,3048
260061,Ilitha,8145
260062,Eluxolweni,15300
260063,Gwiqi,809
260064,Saye,292
260065,Bulembu,1212
260066,Nqonqweni,1766
260067,KwaMzonkeshe,875
260068,Nxaruni,1481
260069,Cuba B,356
260070,Mxaxo,702
260071,Anders Mission,390
260072,KwaRayi,1144
260073,Ginsberg,10766
260074,KwaLini,1696
260075,Ngxwalane,1027
260076,Rhayi,327
260077,KwaNoncampa,1552
260078,Nahoon Dam Settlement,131
260079,Nqcamgeni,496
260080,Sandisiwe,515
260081,Potsdam East,1664
260082,Potsdam South,5329
260083,Mbekweni,2048
260084,Gwaba,874
260085,KwaTshatshu,4719
260086,Zwelitsha,18189
260087,Cuba A,467
260088,Mdantsane,156835
260089,Potsdam Village,5649
260090,Kwelera,82
260091,KwaBhonke,1174
260092,Sunrise-On-Sea,655
260093,Chris Hani,391
260094,Hillcrest,290
260095,Tshabo 2,1114
260096,Ndevana,1283
260097,KwaKlifu,748
260098,Izeleni,1187
260099,Fort Murray,728
260100,Luxhomo,492
260101,KuLogaxa,834
260102,Ducats,3546
260103,Phakamisa,6602
260104,Dongwe,976
260105,Godidi,677
260106,Gonubie,11471
260107,Mzamonhle,8338
260108,KwaMlakalaka,1279
260109,Ndileka,693
260110,KwaNdubungela,568
260111,Mbolompeni,750
260112,Nompumelelo,7269
260113,East London,267007
260114,Pefferville,16380
260115,Nkxamnkwana,431
260116,Mabaleni,506
260117,Mzantsi,526
260118,KwaQongqotha,1425
260119,Qongqotha,25
260120,Zixothyeni,371
260121,Mntlabathi,695
260122,Ntunja,18
260123,Thornfield,57
260124,Mount Coke Mission,-
260125,eBongweni,731
260126,Mount Coke Station,52
260127,Bangilizwe,131
260128,Lovedale SP,81
260129,Need`s Camp,6696
260130,Msundulo,255
260131,Ezigodlweni,875
260132,Silverdale,647
260133,Gompo Town,2254
260134,Mimosa Park,181
260135,Rosendal,344
260136,Kuni,2179
260137,Goodhope,2127
260138,Welcomewood,837
260139,Ententeni,2731
260140,Punzana,314
260141,Tyeni,303
260142,Corn Fields,176
260143,Clydesdale,193
260144,Sunny South,218
260145,Rocklands,83
260146,Gwili-Gwili,365
260147,Inglewood,868
260148,Hill,216
260149,New Chalumna,659
260150,New Hope,617
260151,Tyhusha,470
260152,KwaAltile,313
260153,Wesleyville,418
260174,Phozi,741
260175,Sea Vale,291
260176,KwaNgcamama,486
260177,Dyam Dyam,339
260178,Kayser's Beach,697
260179,Mozana,263
260180,Rala,258
260181,Zikova,474
260182,Ngqinisa,371
260183,Lujiza,354
261001,Nieu Bethesda,1540
261002,Camdeboo ,6562
261003,Graaff Reinet,26585
261004,uMasizakhe,9087
261005,Aberdeen,5133
261006,Thembalesizwe,2029
261007,Kendrew,57
262001,Pearston,3435
262002,Khanyiso,1081
262003,Somerset East,13619
262004,KwaNojoli,5206
262005,Cookhouse,5707
262006,Blue Crane Route ,6954
263001,Jansenville,1134
263002,KwaZamukucinga,4478
263003,Ikwezi ,1919
263004,Klipplaat,2215
263005,Wongalethu,752
263006,Waterford,40
264001,Riebeeck East,753
264002,Makana ,8386
264003,Rhini,17047
264004,Grahamstown,50217
264005,Alicedale,1932
264006,KwaNonzwakazi,1940
264007,Sidbury,115
265001,Bathurst,737
265002,Nolukhanyo,5631
265003,Ndlambe ,6693
265004,Seafield,296
265005,Kleinemonde,2
265006,Nkwenkwezi,16112
265007,Port Alfred,9747
265008,Alexandria,3375
265009,KwaNonkqubela,6710
265010,Kasouga,39
265011,Bushmans River,6147
265012,Kenton on Sea,5154
265013,Boknes Strand,318
265014,Canon Rocks,214
266001,Kirkwood,5371
266002,Sundays River Valley ,16061
266003,Enon,1165
266004,Bontrug,8394
266005,Barsheba,995
266006,Paterson,230
266007,KwaZenzele,5352
266008,Nomathamasanqa,10696
266009,Addo,6239
267001,Rietbron,1184
267002,Baviaans ,4882
267003,Willowmore,7678
267004,Steytlerville,1835
267005,Vuyolwetho,2182
268001,Patensie,5263
268002,Kouga ,14043
268003,Hankey,11761
268004,Loerieheuwel,2787
268005,Thornhill,2462
268006,Gamtoos Mouth,153
